Year,Region,gruppe.beschaeftigt,Value
2007,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,31057
2008,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,31659
2009,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,29856
2010,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,29574
2011,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,31035
2012,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,31844
2013,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,32052
2014,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,32727
2015,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,33304
2016,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,34464
2017,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,35573
2018,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,36660
2019,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,37451
2020,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,37266
2021,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,37023
2007,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,21007
2008,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,21611
2009,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,21047
2010,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,21020
2011,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,21841
2012,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,22245
2013,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,22654
2014,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,23169
2015,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,23943
2016,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,24573
2017,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,25272
2018,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,26038
2019,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,26599
2020,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,26516
2021,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,26421
2007,Enzkreis,Männer in Teilzeit,946
2008,Enzkreis,Männer in Teilzeit,955
2009,Enzkreis,Männer in Teilzeit,816
2010,Enzkreis,Männer in Teilzeit,992
2011,Enzkreis,Männer in Teilzeit,1435
2012,Enzkreis,Männer in Teilzeit,1488
2013,Enzkreis,Männer in Teilzeit,1485
2014,Enzkreis,Männer in Teilzeit,1627
2015,Enzkreis,Männer in Teilzeit,1772
2016,Enzkreis,Männer in Teilzeit,1903
2017,Enzkreis,Männer in Teilzeit,1972
2018,Enzkreis,Männer in Teilzeit,2060
2019,Enzkreis,Männer in Teilzeit,2176
2020,Enzkreis,Männer in Teilzeit,2209
2021,Enzkreis,Männer in Teilzeit,2469
2007,Enzkreis,Frauen in Teilzeit,6869
2008,Enzkreis,Frauen in Teilzeit,7077
2009,Enzkreis,Frauen in Teilzeit,7182
2010,Enzkreis,Frauen in Teilzeit,7497
2011,Enzkreis,Frauen in Teilzeit,9469
2012,Enzkreis,Frauen in Teilzeit,9907
2013,Enzkreis,Frauen in Teilzeit,10109
2014,Enzkreis,Frauen in Teilzeit,10433
2015,Enzkreis,Frauen in Teilzeit,10925
2016,Enzkreis,Frauen in Teilzeit,11341
2017,Enzkreis,Frauen in Teilzeit,11733
2018,Enzkreis,Frauen in Teilzeit,12151
2019,Enzkreis,Frauen in Teilzeit,12579
2020,Enzkreis,Frauen in Teilzeit,12694
2021,Enzkreis,Frauen in Teilzeit,12715
2007,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],40
2008,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"40,6"
2009,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,3"
2010,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,5"
2011,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,3"
2012,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,1"
2013,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,4"
2014,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,5"
2015,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,8"
2016,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,6"
2017,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,5"
2018,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,5"
2019,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],"41,5"
